test_id,gene_id,gene,locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant,
AT1G01140,AT1G01140,CIPK9,1:64165-67625,control,hy5,OK,3.16726,9.45892,1.57844,1.62043,0.0526,0.16342,no,
AT1G01150,AT1G01150,AT1G01150,1:70114-72138,control,hy5,NOTEST,0.488974,0,#NAME?,0,1,1,no,
AT1G01160,AT1G01160,GIF2,1:72338-74737,control,hy5,OK,5.63186,12.1066,1.10411,1.26972,0.0762,0.206617,no,
AT1G01170,AT1G01170,AT1G01170,1:72338-74737,control,hy5,OK,71.3409,20.626,-1.79026,-2.16328,0.00125,0.0114778,yes,
AT1G01180,AT1G01180,AT1G01180,1:75582-76758,control,hy5,OK,6.63267,0.551742,-3.58752,-1.53585,0.25205,0.411636,no,
AT1G01183,AT1G01183,MIR165A,1:78931-79032,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01190,AT1G01190,CYP78A8,1:83044-84864,control,hy5,NOTEST,1.16484,0.703064,-0.728402,0,1,1,no,
AT1G01200,AT1G01200,ATRABA3,1:86514-88213,control,hy5,NOTEST,1.83596,1.42545,-0.365122,0,1,1,no,
AT1G01210,AT1G01210,AT1G01210,1:88897-89745,control,hy5,OK,26.2006,6.49845,-2.01143,-2.50802,0.07915,0.211869,no,
AT1G01220,AT1G01220,FKGP,1:91375-95651,control,hy5,NOTEST,0.824519,1.69214,1.03723,0,1,1,no,
AT1G01240,AT1G01240,AT1G01240,1:99893-101834,control,hy5,OK,6.17835,3.87752,-0.672086,-0.644331,0.33035,0.484208,no,
AT1G01250,AT1G01250,AT1G01250,1:104490-105330,control,hy5,NOTEST,2.24454,3.28454,0.549276,0,1,1,no,
AT1G01260,AT1G01260,AT1G01260,1:108945-111609,control,hy5,NOTEST,0.969656,1.25437,0.371413,0,1,1,no,
AT1G01270,AT1G01270,AT1G01270,1:111889-111961,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01280,AT1G01280,CYP703A2,1:112262-113947,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01290,AT1G01290,CNX3,1:114285-116108,control,hy5,NOTEST,0.585593,2.51032,2.0999,0,1,1,no,
AT1G01300,AT1G01300,AT1G01300,1:116942-118764,control,hy5,OK,19.0808,11.1195,-0.779026,-2.13889,0.0237,0.100025,no,
AT1G01305,AT1G01305,AT1G01305,1:119396-119997,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01310,AT1G01310,AT1G01310,1:120153-130577,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01320,AT1G01320,AT1G01320,1:120153-130577,control,hy5,OK,4.94108,20.8581,2.07771,7.41193,5.00E-05,0.000721121,yes,
AT1G01340,AT1G01340,CNGC10,1:132327-135831,control,hy5,NOTEST,0.434182,1.63245,1.91067,0,1,1,no,
AT1G01350,AT1G01350,AT1G01350,1:136123-138162,control,hy5,NOTEST,1.86314,1.90831,0.0345624,0,1,1,no,
AT1G01355,AT1G01355,AT1G01355,1:138512-139568,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01360,AT1G01360,RCAR1,1:141970-143183,control,hy5,NOTEST,2.6205,5.43686,1.05293,0,1,1,no,
AT1G01370,AT1G01370,HTR12,1:143563-145684,control,hy5,NOTEST,0,4.58741,inf,0,1,1,no,
AT1G01380,AT1G01380,ETC1,1:147152-147942,control,hy5,NOTEST,1.31954,0,#NAME?,0,1,1,no,
AT1G01390,AT1G01390,AT1G01390,1:148119-149806,control,hy5,NOTEST,0.65792,0.361768,-0.862846,0,1,1,no,
AT1G01400,AT1G01400,AT1G01400,1:150688-152210,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01410,AT1G01410,APUM22,1:153112-154198,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01420,AT1G01420,UGT72B3,1:154491-156011,control,hy5,NOTEST,3.50252,2.18365,-0.68165,0,1,1,no,
AT1G01430,AT1G01430,TBL25,1:156800-158655,control,hy5,OK,19.7439,10.2408,-0.947081,-2.29421,0.0097,0.0557667,no,
AT1G01440,AT1G01440,AT1G01440,1:159855-162572,control,hy5,NOTEST,1.74005,2.28166,0.390958,0,1,1,no,
AT1G01448,"AT1G01448,CUFF",AT1G01448,1:163418-166239,control,hy5,NOTEST,0,1.1955,inf,0,1,1,no,
AT1G01450,AT1G01450,AT1G01450,1:163418-166239,control,hy5,NOTEST,0.394016,1.91342,2.27983,0,1,1,no,
AT1G01453,AT1G01453,AT1G01453,1:166588-167842,control,hy5,NOTEST,1.00703,0,#NAME?,0,1,1,no,
AT1G01460,AT1G01460,PIPK11,1:168722-171165,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01470,AT1G01470,LEA14,1:172145-172948,control,hy5,OK,30.8525,25.8533,-0.255037,-0.644691,0.50475,0.640995,no,
AT1G01471,AT1G01471,AT1G01471,1:173250-173466,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01480,AT1G01480,ACS2,1:175781-178400,control,hy5,NOTEST,0,0.850146,inf,0,1,1,no,
AT1G01490,AT1G01490,AT1G01490,1:180058-182358,control,hy5,OK,14.6195,22.8189,0.642332,1.08995,0.08755,0.223271,no,
AT1G01500,AT1G01500,AT1G01500,1:185132-186923,control,hy5,NOTEST,2.89156,2.24378,-0.365918,0,1,1,no,
AT1G01510,AT1G01510,AN,1:187210-190056,control,hy5,NOTEST,2.95835,3.94651,0.415787,0,1,1,no,
AT1G01520,AT1G01520,AT1G01520,1:190595-192139,control,hy5,NOTEST,0,4.46098,inf,0,1,1,no,
AT1G01530,AT1G01530,AGL28,1:192639-193670,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01540,AT1G01540,AT1G01540,1:195779-198684,control,hy5,OK,13.9891,13.163,-0.0878184,-0.185848,0.7885,0.862196,no,
AT1G01550,AT1G01550,BPS1,1:199638-201775,control,hy5,OK,31.9653,19.8369,-0.688322,-1.73385,0.0159,0.0778253,no,
AT1G01560,AT1G01560,MPK11,1:202135-204335,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01570,AT1G01570,AT1G01570,1:205175-207435,control,hy5,NOTEST,0.398401,0,#NAME?,0,1,1,no,
AT1G01580,AT1G01580,FRD1,1:209394-213041,control,hy5,NOTEST,1.6518,0.359288,-2.20082,0,1,1,no,
AT1G01590,AT1G01590,FRO1,1:214228-217304,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01600,AT1G01600,CYP86A4,1:218993-221286,control,hy5,NOTEST,1.88839,0.197396,-3.258,0,1,1,no,
AT1G01610,AT1G01610,ATGPAT4,1:221690-224340,control,hy5,OK,14.3859,5.25155,-1.45384,-2.63526,0.00245,0.019706,yes,
AT1G01620,AT1G01620,PIP1,1:225664-227302,control,hy5,OK,177.996,80.0485,-1.1529,-5.85604,5.00E-05,0.000721121,yes,
AT1G01630,AT1G01630,AT1G01630,1:229012-230917,control,hy5,OK,3.18366,9.18071,1.52792,1.63516,0.0599,0.175812,no,
AT1G01640,AT1G01640,AT1G01640,1:230993-232508,control,hy5,NOTEST,1.402,4.4637,1.67076,0,1,1,no,
AT1G01650,AT1G01650,SPPL4,1:232840-237817,control,hy5,OK,3.28026,5.59895,0.771347,0.992592,0.1386,0.28992,no,
AT1G01660,AT1G01660,AT1G01660,1:240056-242608,control,hy5,NOTEST,0.979161,1.35328,0.466844,0,1,1,no,
AT1G01670,AT1G01670,AT1G01670,1:242842-245988,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01680,AT1G01680,ATPUB54,1:246410-248367,control,hy5,NOTEST,0,1.56792,inf,0,1,1,no,
AT1G01690,AT1G01690,ATPRD3,1:249140-252462,control,hy5,NOTEST,0.320192,1.02424,1.67754,0,1,1,no,
AT1G01695,AT1G01695,AT1G01695,1:252946-254495,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01700,AT1G01700,ATROPGEF2,1:259494-261474,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01710,AT1G01710,AT1G01710,1:262827-267771,control,hy5,NOTEST,1.38886,1.86161,0.422652,0,1,1,no,
AT1G01720,AT1G01720,ATAF1,1:268329-270775,control,hy5,OK,15.2524,7.99742,-0.931425,-1.79087,0.04235,0.143599,no,
AT1G01725,AT1G01725,AT1G01725,1:268329-270775,control,hy5,OK,3.39992,4.71223,0.470911,0.209543,0.45955,0.602152,no,
AT1G01730,AT1G01730,AT1G01730,1:270955-272061,control,hy5,OK,5.18219,8.55133,0.722589,0.848539,0.35535,0.508437,no,
AT1G01740,AT1G01740,AT1G01740,1:272110-274569,control,hy5,NOTEST,0,1.61148,inf,0,1,1,no,
AT1G01750,AT1G01750,ADF11,1:275365-278448,control,hy5,OK,9.30822,2.9418,-1.6618,-1.33741,0.1062,0.251234,no,
AT1G01760,AT1G01760,AT1G01760,1:275365-278448,control,hy5,NOTEST,0.738562,0.968173,0.390545,0,1,1,no,
AT1G01780,AT1G01780,AT1G01780,1:278614-284245,control,hy5,NOTEST,3.55816,4.28283,0.267434,0,1,1,no,
AT1G01790,AT1G01790,KEA1,1:284609-291094,control,hy5,OK,2.6907,13.432,2.31962,4.82592,5.00E-05,0.000721121,yes,
AT1G01800,AT1G01800,AT1G01800,1:293341-295040,control,hy5,OK,12.2308,17.9301,0.551868,0.835329,0.21215,0.376629,no,
AT1G01810,AT1G01810,AT1G01810,1:295220-295859,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01820,AT1G01820,PEX11C,1:296000-298120,control,hy5,OK,16.1438,19.2664,0.255105,0.634395,0.54745,0.678533,no,
AT1G01830,AT1G01830,AT1G01830,1:298534-302315,control,hy5,NOTEST,1.32895,3.05738,1.202,0,1,1,no,
AT1G01840,AT1G01840,AT1G01840,1:303536-306287,control,hy5,NOTEST,3.366,0.657993,-2.35489,0,1,1,no,
AT1G01860,AT1G01860,PFC1,1:303536-306287,control,hy5,NOTEST,2.09807,1.51103,-0.473531,0,1,1,no,
AT1G01870,AT1G01870,AT1G01870,1:306383-306456,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01880,AT1G01880,AT1G01880,1:306479-309109,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01890,AT1G01890,AT1G01890,1:309274-309347,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01900,AT1G01900,ATSBT1.1,1:310315-315902,control,hy5,NOTEST,2.04162,0,#NAME?,0,1,1,no,
AT1G01910,"AT1G01910,CUFF",AT1G01910,1:310315-315902,control,hy5,OK,16.6749,9.41653,-0.824409,-1.08343,0.07295,0.200074,no,
AT1G01920,AT1G01920,AT1G01920,1:316127-319650,control,hy5,NOTEST,0.286358,2.9761,3.37753,0,1,1,no,
AT1G01930,AT1G01930,AT1G01930,1:319835-322860,control,hy5,NOTEST,0.265463,1.89026,2.832,0,1,1,no,
AT1G01940,AT1G01940,AT1G01940,1:323026-324917,control,hy5,OK,3.20072,6.35237,0.9889,0.828299,0.54775,0.678665,no,
AT1G01950,AT1G01950,ARK2,1:325378-337582,control,hy5,NOTEST,0.887297,1.5536,0.808128,0,1,1,no,
AT1G01960,AT1G01960,EDA10,1:325378-337582,control,hy5,OK,3.29131,3.68777,0.164088,0.33418,0.62535,0.741257,no,
AT1G01970,AT1G01970,AT1G01970,1:338290-340077,control,hy5,OK,7.61117,8.83673,0.215394,0.455733,0.7175,0.811342,no,
AT1G01980,AT1G01980,AT1G01980,1:340171-341999,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G01990,AT1G01990,AT1G01990,1:343165-344341,control,hy5,OK,6.08253,10.1201,0.73448,1.07101,0.1488,0.301968,no,
AT1G02000,AT1G02000,GAE2,1:345811-347592,control,hy5,OK,5.20981,2.76684,-0.912992,-0.96519,0.1332,0.282223,no,
AT1G02010,AT1G02010,SEC1A,1:347890-352480,control,hy5,NOTEST,0.830469,0,#NAME?,0,1,1,no,
AT1G02020,AT1G02020,AT1G02020,1:352636-354969,control,hy5,NOTEST,3.42954,2.25585,-0.604344,0,1,1,no,
AT1G02030,AT1G02030,AT1G02030,1:355320-357258,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02060,AT1G02060,AT1G02060,1:360917-363094,control,hy5,NOTEST,0,0.271972,inf,0,1,1,no,
AT1G02065,AT1G02065,SPL8,1:365208-367340,control,hy5,NOTEST,0.32339,0,#NAME?,0,1,1,no,
AT1G02070,AT1G02070,AT1G02070,1:370256-370967,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02074,AT1G02074,AT1G02074,1:372063-372210,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02080,AT1G02080,AT1G02080,1:373334-386847,control,hy5,NOTEST,0.792253,2.97707,1.90986,0,1,1,no,
AT1G02090,AT1G02090,CSN7,1:387276-389647,control,hy5,OK,6.19747,11.125,0.844052,0.94325,0.1641,0.321475,no,
AT1G02100,"AT1G02100,CUFF",AT1G02100,1:389811-395528,control,hy5,NOTEST,1.15184,0.000365868,-11.6203,0,1,1,no,
AT1G02120,AT1G02120,VAD1,1:395760-399897,control,hy5,OK,11.354,23.9064,1.0742,3.14974,0.0015,0.013194,yes,
AT1G02130,AT1G02130,ATRABD2A,1:400034-401882,control,hy5,OK,12.3114,4.15462,-1.5672,-1.84752,0.0552,0.167786,no,
AT1G02136,AT1G02136,AT1G02136,1:402692-402961,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02140,AT1G02140,MEE63,1:403189-404456,control,hy5,OK,105.379,64.9252,-0.698742,-3.40331,0.0037,0.0271973,yes,
AT1G02145,"AT1G02145,CUFF",EBS4,1:404599-410611,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02160,AT1G02160,AT1G02160,1:410747-411597,control,hy5,OK,19.021,22.1583,0.220254,0.248319,0.70185,0.800187,no,
AT1G02170,AT1G02170,MCP1B,1:411778-414645,control,hy5,OK,6.58508,3.09,-1.09159,-1.12463,0.203,0.366443,no,
AT1G02180,AT1G02180,AT1G02180,1:411778-414645,control,hy5,NOTEST,0,3.73994,inf,0,1,1,no,
AT1G02190,AT1G02190,AT1G02190,1:415078-418010,control,hy5,NOTEST,0,0.723891,inf,0,1,1,no,
AT1G02205,AT1G02205,CER1,1:418747-422438,control,hy5,OK,2.71685,4.07412,0.584554,0.645114,0.2633,0.420085,no,
AT1G02210,AT1G02210,AT1G02210,1:427547-427811,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02220,AT1G02220,ANAC003,1:428813-430647,control,hy5,NOTEST,0,0.466829,inf,0,1,1,no,
AT1G02228,AT1G02228,AT1G02228,1:433030-433819,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02230,AT1G02230,ANAC004,1:435173-436776,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02250,AT1G02250,anac005,1:437950-439559,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02260,AT1G02260,AT1G02260,1:440440-442877,control,hy5,NOTEST,2.81987,1.13346,-1.31489,0,1,1,no,
AT1G02270,AT1G02270,AT1G02270,1:443148-446235,control,hy5,OK,0.987256,5.80993,2.55702,1.65941,0.1194,0.26849,no,
AT1G02280,AT1G02280,ATTOC33,1:448462-450426,control,hy5,OK,13.5806,16.4362,0.275327,0.433605,0.5264,0.660071,no,
AT1G02290,AT1G02290,AT1G02290,1:450526-452737,control,hy5,NOTEST,0.319549,2.2563,2.81985,0,1,1,no,
AT1G02300,AT1G02300,AT1G02300,1:453287-455463,control,hy5,OK,2.45931,6.81289,1.47001,1.38503,0.1381,0.289308,no,
AT1G02305,AT1G02305,AT1G02305,1:455687-460696,control,hy5,OK,21.591,15.7741,-0.452875,-1.03392,0.16255,0.319861,no,
AT1G02310,AT1G02310,MAN1,1:455687-460696,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02320,AT1G02320,AT1G02320,1:461827-461974,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02330,AT1G02330,AT1G02330,1:462074-463612,control,hy5,NOTEST,1.74365,5.90306,1.75935,0,1,1,no,
AT1G02335,AT1G02335,GL22,1:463854-464924,control,hy5,NOTEST,1.00382,2.90413,1.5326,0,1,1,no,
AT1G02340,AT1G02340,HFR1,1:465717-467844,control,hy5,NOTEST,1.49226,0,#NAME?,0,1,1,no,
AT1G02350,AT1G02350,AT1G02350,1:469817-470693,control,hy5,NOTEST,2.1662,0,#NAME?,0,1,1,no,
AT1G02360,AT1G02360,AT1G02360,1:471989-473160,control,hy5,OK,6.53311,4.21654,-0.631709,-0.624895,0.3621,0.514955,no,
AT1G02370,AT1G02370,AT1G02370,1:474499-476511,control,hy5,NOTEST,2.09076,0.560388,-1.89953,0,1,1,no,
AT1G02380,AT1G02380,AT1G02380,1:476999-478971,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02390,AT1G02390,ATGPAT2,1:480851-483292,control,hy5,NOTEST,0.300232,0,#NAME?,0,1,1,no,
AT1G02391,AT1G02391,AT1G02391,1:483763-483919,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02400,AT1G02400,ATGA2OX4,1:486800-489577,control,hy5,NOTEST,0,1.28796,inf,0,1,1,no,
AT1G02405,AT1G02405,AT1G02405,1:489978-490505,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02410,AT1G02410,AT1G02410,1:490924-492926,control,hy5,NOTEST,1.03947,3.5824,1.78508,0,1,1,no,
AT1G02420,AT1G02420,AT1G02420,1:493682-496062,control,hy5,NOTEST,0.521107,0.421727,-0.305272,0,1,1,no,
AT1G02430,AT1G02430,ATARFD1B,1:493682-496062,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02440,AT1G02440,ATARFD1A,1:496585-497479,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02450,AT1G02450,NIMIN1,1:497975-498516,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02460,AT1G02460,AT1G02460,1:504672-507204,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02470,AT1G02470,AT1G02470,1:511764-513624,control,hy5,NOTEST,0.730633,0,#NAME?,0,1,1,no,
AT1G02475,AT1G02475,AT1G02475,1:513842-515404,control,hy5,OK,15.8302,12.3743,-0.355328,-0.682239,0.48645,0.625992,no,
AT1G02480,AT1G02480,AT1G02480,1:515493-515566,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02490,AT1G02490,AT1G02490,1:516617-516734,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02500,AT1G02500,MAT1,1:518250-520437,control,hy5,OK,71.7334,32.6836,-1.13408,-3.93511,5.00E-05,0.000721121,yes,
AT1G02510,AT1G02510,KCO4,1:520497-521668,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02520,AT1G02520,PGP11,1:523650-528745,control,hy5,NOTEST,0.129985,0.14637,0.171275,0,1,1,no,
AT1G02530,AT1G02530,PGP12,1:529794-534677,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02540,AT1G02540,AT1G02540,1:534826-535699,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02550,AT1G02550,AT1G02550,1:536482-537211,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02560,AT1G02560,NCLPP5,1:537859-540109,control,hy5,OK,53.3451,44.8927,-0.248875,-1.07248,0.21785,0.382365,no,
AT1G02570,AT1G02570,AT1G02570,1:541334-542240,control,hy5,NOTEST,5.23949,0,#NAME?,0,1,1,no,
AT1G02575,AT1G02575,AT1G02575,1:543109-544007,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02580,AT1G02580,MEA,1:544782-549202,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02590,AT1G02590,AT1G02590,1:552137-552761,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02600,AT1G02600,AT1G02600,1:552137-552761,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02610,AT1G02610,AT1G02610,1:553049-555994,control,hy5,NOTEST,1.97535,1.96286,-0.00915262,0,1,1,no,
AT1G02620,AT1G02620,AT1G02620,1:557091-557986,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02630,AT1G02630,AT1G02630,1:560609-562424,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02640,AT1G02640,BXL2,1:564204-567769,control,hy5,OK,4.08869,1.39427,-1.55213,-1.37221,0.0474,0.15303,no,
AT1G02650,AT1G02650,AT1G02650,1:568703-570418,control,hy5,NOTEST,0.528859,0,#NAME?,0,1,1,no,
AT1G02660,AT1G02660,AT1G02660,1:571954-574981,control,hy5,NOTEST,2.72421,2.45055,-0.152732,0,1,1,no,
AT1G02670,AT1G02670,AT1G02670,1:576045-580299,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02680,AT1G02680,TAF13,1:580624-582310,control,hy5,NOTEST,0,5.2561,inf,0,1,1,no,
AT1G02681,AT1G02681,AT1G02681,1:582412-582922,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02690,AT1G02690,IMPA-6,1:584259-587219,control,hy5,NOTEST,1.78975,1.3352,-0.422706,0,1,1,no,
AT1G02700,AT1G02700,AT1G02700,1:588328-589480,control,hy5,NOTEST,0.576471,0,#NAME?,0,1,1,no,
AT1G02710,AT1G02710,AT1G02710,1:589705-589996,control,hy5,NOTEST,3.30037,0,#NAME?,0,1,1,no,
AT1G02720,AT1G02720,GATL5,1:591825-594236,control,hy5,OK,4.29913,4.25754,-0.0140256,-0.0124592,0.97675,0.97827,no,
AT1G02730,AT1G02730,ATCSLD5,1:594572-598657,control,hy5,OK,3.03325,6.23101,1.0386,2.03718,0.01665,0.0803214,no,
AT1G02740,AT1G02740,AT1G02740,1:599415-602038,control,hy5,NOTEST,2.41647,4.16809,0.786489,0,1,1,no,
AT1G02750,AT1G02750,AT1G02750,1:602496-604292,control,hy5,NOTEST,2.19948,0.8639,-1.34823,0,1,1,no,
AT1G02760,AT1G02760,AT1G02760,1:604401-604474,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02770,AT1G02770,AT1G02770,1:604872-606693,control,hy5,NOTEST,0.994243,1.17274,0.238212,0,1,1,no,
AT1G02780,AT1G02780,emb2386,1:607807-609465,control,hy5,OK,177.26,178.487,0.00995434,0.0743612,0.94245,0.953357,no,
AT1G02790,AT1G02790,PGA4,1:610390-612324,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02800,AT1G02800,ATCEL2,1:613215-616191,control,hy5,NOTEST,0,0.687849,inf,0,1,1,no,
AT1G02810,AT1G02810,AT1G02810,1:618264-620480,control,hy5,NOTEST,2.43446,1.73495,-0.488706,0,1,1,no,
AT1G02813,AT1G02813,AT1G02813,1:620677-621289,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02816,AT1G02816,AT1G02816,1:621460-622469,control,hy5,OK,12.7201,7.04695,-0.852039,-1.4358,0.2888,0.444983,no,
AT1G02820,AT1G02820,AT1G02820,1:623764-624475,control,hy5,OK,10.8735,5.34936,-1.02338,-1.05818,0.21135,0.375998,no,
AT1G02830,AT1G02830,AT1G02830,1:625144-625608,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02840,AT1G02840,SR34,1:626740-629819,control,hy5,OK,10.4687,17.4575,0.737767,1.32365,0.05265,0.16342,no,
AT1G02850,"AT1G02850,CUFF",BGLU11,1:630504-633259,control,hy5,OK,4.86654,15.6375,1.68404,2.072,0.0021,0.0174098,yes,
AT1G02860,AT1G02860,NLA,1:635143-638677,control,hy5,NOTEST,2.43309,2.2789,-0.0944548,0,1,1,no,
AT1G02870,AT1G02870,AT1G02870,1:635143-638677,control,hy5,OK,9.37169,6.74806,-0.473836,-0.416421,0.59985,0.72094,no,
AT1G02880,"AT1G02880,CUFF",TPK1,1:642751-644903,control,hy5,OK,3.49788,4.59324,0.393034,0.207852,0.65505,0.761675,no,
AT1G02890,AT1G02890,AT1G02890,1:645091-651907,control,hy5,OK,3.1091,8.94593,1.52473,3.21441,0.0001,0.00136238,yes,
AT1G02900,AT1G02900,ATRALF1,1:653764-654343,control,hy5,OK,45.7337,14.6072,-1.64658,-3.30113,0.0362,0.130354,no,
AT1G02910,AT1G02910,LPA1,1:655576-658148,control,hy5,OK,4.33342,9.55071,1.1401,1.65238,0.02765,0.110087,no,
AT1G02920,AT1G02920,GST11,1:658656-659771,control,hy5,OK,3.53629,20.5182,2.53659,2.76573,0.0432,0.145121,no,
AT1G02930,AT1G02930,ATGSTF6,1:661176-662456,control,hy5,OK,6.78411,32.4589,2.25838,2.1746,0.0026,0.0207133,yes,
AT1G02940,AT1G02940,ATGSTF5,1:663078-664128,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02950,"AT1G02950,CUFF",GSTF4,1:665151-666452,control,hy5,NOTEST,1.81979,0.686698,-1.40602,0,1,1,no,
AT1G02952,AT1G02952,AT1G02952,1:665151-666452,control,hy5,NOTEST,2.75934,3.35489,0.281941,0,1,1,no,
AT1G02960,AT1G02960,AT1G02960,1:666871-669837,control,hy5,NOTEST,0,2.68032,inf,0,1,1,no,
AT1G02965,AT1G02965,AT1G02965,1:671660-672814,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02970,AT1G02970,WEE1,1:673305-676378,control,hy5,NOTEST,0,0.324784,inf,0,1,1,no,
AT1G02980,AT1G02980,CUL2,1:677868-681310,control,hy5,NOTEST,0,0,0,0,1,1,no,
AT1G02990,AT1G02990,AT1G02990,1:681395-687315,control,hy5,NOTEST,0.333632,1.11529,1.74108,0,1,1,no,
